date,division,inflation
1961-01-01,overall,-0.23980815347721673
1962-01-01,overall,0.0
1963-01-01,overall,3.3653846153846034
1964-01-01,overall,-0.46511627906977715
1965-01-01,overall,2.336448598130847
1966-01-01,overall,1.82648401826484
1967-01-01,overall,4.035874439461873
1968-01-01,overall,-0.4310344827586077
1969-01-01,overall,-0.43290043290044045
1970-01-01,overall,2.1739130434782705
1971-01-01,overall,1.7021276595744705
1972-01-01,overall,2.9288702928870425
1973-01-01,overall,9.756097560975597
1974-01-01,overall,17.037037037037052
1975-01-01,overall,5.063291139240511
1976-01-01,overall,2.409638554216853
1977-01-01,overall,4.705882352941182
1978-01-01,overall,4.494382022471921
1979-01-01,overall,3.4946236559139754
1980-01-01,overall,6.991341991341993
1981-01-01,overall,9.670240744487145
1982-01-01,overall,5.718502121379809
1983-01-01,overall,3.7340778223695636
1984-01-01,overall,3.532380151387726
1985-01-01,overall,0.4224207961007309
1986-01-01,overall,0.5500728037534319
1987-01-01,overall,0.8849557522123908
1988-01-01,overall,2.4880382775119614
1989-01-01,overall,2.8166822284469317
1990-01-01,overall,3.0876343272286944
1991-01-01,overall,4.316546762589923
1992-01-01,overall,4.771287825475001
1993-01-01,overall,3.546480386888784
1994-01-01,overall,3.6715101193565136
1995-01-01,overall,3.466399699662115
1996-01-01,overall,3.5074987905176602
1997-01-01,overall,2.6291189530264214
1998-01-01,overall,5.294318569964673
1999-01-01,overall,2.7249134948097
2000-01-01,overall,1.6000000000000014
2001-01-01,overall,1.3986738499792706
2002-01-01,overall,1.818739143762138
2003-01-01,overall,1.063723030607111
2004-01-01,overall,1.4397775791877843
2005-01-01,overall,3.005090054815973
2006-01-01,overall,3.6206405017580767
2007-01-01,overall,2.026779163609671
2008-01-01,overall,5.429213483146089
2009-01-01,overall,0.5968113223633775
2010-01-01,overall,1.7204847868463435
2011-01-01,overall,3.182802866188972
2012-01-01,overall,1.6553617571059442
2013-01-01,overall,2.105012312336152
2014-01-01,overall,3.1429905087910326
2015-01-01,overall,2.1043898023834773
2016-01-01,overall,2.075792273029453
2017-01-01,overall,3.7993920972644313
2018-01-01,overall,0.9691138534476895
2019-01-01,overall,0.6628918657644034
2020-01-01,overall,-1.1387021539305708
2021-01-01,overall,2.477102414654442
2022-01-01,overall,3.3786986254993545
2023-01-01,overall,2.4888656012575394
2024-01-01,overall,1.8341002044989674
2025-01-01,overall,1.380608722936949
1981-01-01,01,11.509014571499133
1982-01-01,01,7.3089700996677776
1983-01-01,01,0.6191950464396356
1984-01-01,01,3.897435897435897
1985-01-01,01,-2.369200394866733
1986-01-01,01,0.24266936299290887
1987-01-01,01,-0.5043373007867502
1988-01-01,01,3.7915652879156436
1989-01-01,01,3.7311974995116293
1990-01-01,01,4.161958568738244
1991-01-01,01,4.86349665521606
1992-01-01,01,6.5172413793103345
1993-01-01,01,2.282292003884767
1994-01-01,01,5.285646463047944
1995-01-01,01,4.854952652938538
