Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","360","Indonesia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","32.430845","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","32.266949","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","32.366277","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","32.530174","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","34.183993","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","34.978623","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","34.447211","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","34.183993","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","33.458893","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","33.160907","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","33.126138","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","32.862921","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","32.629495","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","32.594734","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","32.465606","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","33.061578","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","33.886007","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","34.546547","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","35.043191","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","34.546547","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","34.581308","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","35.212049","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","35.410706","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","35.738491","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","35.907349","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","35.142519","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","34.645876","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","35.11272","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","35.907349","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","36.766539","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","37.908823","X","Figure from external organization","base year is 2015"
